player,year,season_finish,draft_position,wins,losses,ties,points_for,points_against
Bmas,2014,10,8,6,7,0,1657,1600
Bryan,2014,3,6,7,6,0,1818,1783
Dickie,2014,6,4,6,6,1,1676,1663
Erik,2014,8,2,6,6,1,1883,1843
Jar,2014,4,7,7,5,1,1763,1710
Jay,2014,5,1,7,6,0,1770,1815
Jim,2014,1,10,7,6,0,1828,1670
Kuch,2014,9,5,6,7,0,1597,1608
Kyle,2014,7,9,2,11,0,1448,1969
Steve,2014,2,3,9,3,1,1824,1603
Bmas,2015,3,3,7,6,0,1793,1860
Bryan,2015,7,6,4,9,0,1480,1758
Dickie,2015,6,2,7,6,0,1706,1662
Erik,2015,5,8,5,8,0,1868,1860
Jar,2015,1,7,9,4,0,2106,1779
Jay,2015,10,5,3,10,0,1684,1875
Jim,2015,2,10,9,4,0,1851,1709
Kuch,2015,9,1,6,7,0,1581,1727
Kyle,2015,8,3,6,7,0,1766,1798
Steve,2015,4,9,9,4,0,1801,1608
Bmas,2016,7,3,3,9,0,1587.4,1688.3
Bryan,2016,9,5,4,8,0,1437.7,1652.3
Dickie,2016,6,4,7,5,0,1467.8,1494.2
Erik,2016,4,9,8,4,0,1713.9,1598.2
Jar,2016,5,1,5,7,0,1521,1564.8
Jay,2016,1,7,8,4,0,1595.5,1536.9
Jim,2016,8,8,5,7,0,1557.6,1610.1
Kuch,2016,10,10,5,7,0,1457.9,1619.2
Kyle,2016,3,6,8,4,0,1656.9,1428.3
Steve,2016,2,2,7,5,0,1708.5,1511.9
Bmas,2017,3,2,7,5,0,1509.2,1371.9
Bryan,2017,9,10,5,7,0,1399.2,1449.6
Dickie,2017,7,4,6,6,0,1311.5,1381.8
Erik,2017,4,9,9,3,0,1636.1,1491.2
Jar,2017,2,3,6,6,0,1681,1537.2
Jay,2017,8,6,3,9,0,1264.2,1515.1
Jim,2017,10,1,5,7,0,1394.3,1582.7
Kuch,2017,6,8,6,6,0,1591.8,1491.5
Kyle,2017,5,5,5,7,0,1448.9,1587
Steve,2017,1,7,8,4,0,1699.8,1528
Bmas,2018,8,9,6,6,0,1603.7,1727.3
Bryan,2018,5,7,4,8,0,1739.3,1779
Dickie,2018,7,3,2,10,0,1335.8,1769.1
Erik,2018,3,8,12,0,0,1986.3,1498.6
Jar,2018,9,4,4,8,0,1524.1,1635.3
Jay,2018,1,1,7,5,0,1787.5,1661.3
Jim,2018,10,2,4,8,0,1610.4,1791.6
Kuch,2018,4,10,8,4,0,1790.4,1552
Kyle,2018,6,6,6,6,0,1723.9,1726.9
Steve,2018,2,5,7,5,0,1700.6,1660.9
Bmas,2019,1,7,9,3,0,1687.5,1486.9
Bryan,2019,6,10,7,5,0,1481.6,1556.4
Dickie,2019,5,9,4,8,0,1498.2,1631.4
Erik,2019,3,2,8,4,0,1932.5,1557.3
Jar,2019,2,1,8,4,0,1640.6,1618.6
Jay,2019,10,5,2,10,0,1367.5,1628
Jim,2019,8,6,3,9,0,1479.1,1609.6
Kuch,2019,9,3,5,7,0,1408.3,1542.7
Kyle,2019,4,4,8,4,0,1556.3,1372.3
Steve,2019,7,8,6,6,0,1616.6,1665
Bmas,2020,8,8,6,6,0,1564,1701.5
Bryan,2020,9,2,5,7,0,1556.4,1586.3
Dickie,2020,6,1,6,6,0,1654,1673.6
Erik,2020,10,10,2,10,0,1485.5,1696.2
Jar,2020,5,5,4,8,0,1541.1,1583.1
Jay,2020,7,7,3,9,0,1418.2,1586
Jim,2020,1,4,10,2,0,1676.8,1405.4
Kuch,2020,2,3,8,4,0,1780.8,1594.9
Kyle,2020,3,9,7,5,0,1598.2,1513.4
Steve,2020,4,6,9,3,0,1647.6,1582.2
Bmas,2021,7,4,3,10,0,1603,1859.6
Bryan,2021,10,9,6,7,0,1643.8,1822.1
Dickie,2021,2,10,10,3,0,1849.4,1617.8
Erik,2021,5,7,6,7,0,1795.4,1746.2
Jar,2021,4,3,8,5,0,1700.1,1708.3
Jay,2021,1,6,9,4,0,1836.7,1624.6
Jim,2021,6,8,6,7,0,1733.6,1771.1
Kuch,2021,8,5,7,6,0,1655.4,1592.8
Kyle,2021,3,1,7,6,0,1772.6,1670.2
Steve,2021,9,2,3,10,0,1506.4,1683.7