year,week,playoff_type,away_team,home_team,away_score,home_score,margin,above_200,matchup_winner,matchup_loser
2014,1,N/A,Dickie,Jay,113,161,48,NO,Jay,Dickie
2014,1,N/A,Jim,Jar,105,142,37,NO,Jar,Jim
2014,1,N/A,Erik,Bryan,153,173,20,NO,Bryan,Erik
2014,1,N/A,Bmas,Steve,96,106,10,NO,Steve,Bmas
2014,1,N/A,Kyle,Kuch,127,121,6,NO,Kyle,Kuch
2014,2,N/A,Kyle,Jim,96,188,92,NO,Jim,Kyle
2014,2,N/A,Kuch,Steve,153,95,58,NO,Kuch,Steve
2014,2,N/A,Jay,Erik,114,138,24,NO,Erik,Jay
2014,2,N/A,Dickie,Bmas,105,120,15,NO,Bmas,Dickie
2014,2,N/A,Jar,Bryan,113,100,13,NO,Jar,Bryan
2014,3,N/A,Bryan,Jim,180,126,54,NO,Bryan,Jim
2014,3,N/A,Bmas,Erik,132,106,26,NO,Bmas,Erik
2014,3,N/A,Steve,Kyle,82,99,17,NO,Kyle,Steve
2014,3,N/A,Kuch,Dickie,117,133,16,NO,Dickie,Kuch
2014,3,N/A,Jar,Jay,126,127,1,NO,Jay,Jar
2014,4,N/A,Bmas,Kuch,133,68,65,NO,Bmas,Kuch
2014,4,N/A,Kyle,Dickie,116,158,42,NO,Dickie,Kyle
2014,4,N/A,Jim,Jay,126,93,33,NO,Jim,Jay
2014,4,N/A,Erik,Jar,165,143,22,NO,Erik,Jar
2014,4,N/A,Steve,Bryan,152,141,11,NO,Steve,Bryan
2014,5,N/A,Dickie,Steve,96,147,51,NO,Steve,Dickie
2014,5,N/A,Kyle,Bmas,98,123,25,NO,Bmas,Kyle
2014,5,N/A,Kuch,Jar,131,149,18,NO,Jar,Kuch
2014,5,N/A,Jim,Erik,142,127,15,NO,Jim,Erik
2014,5,N/A,Jay,Bryan,134,148,14,NO,Bryan,Jay
2014,6,N/A,Erik,Kyle,163,110,53,NO,Erik,Kyle
2014,6,N/A,Jay,Kuch,110,138,28,NO,Kuch,Jay
2014,6,N/A,Bryan,Bmas,156,130,26,NO,Bryan,Bmas
2014,6,N/A,Jim,Dickie,132,153,21,NO,Dickie,Jim
2014,6,N/A,Jar,Steve,141,141,0,NO,TIE!,TIE!
2014,7,N/A,Steve,Jay,178,94,84,NO,Steve,Jay
2014,7,N/A,Kyle,Bryan,140,180,40,NO,Bryan,Kyle
2014,7,N/A,Bmas,Jar,113,89,24,NO,Bmas,Jar
2014,7,N/A,Kuch,Jim,127,111,16,NO,Kuch,Jim
2014,7,N/A,Dickie,Erik,124,124,0,NO,TIE!,TIE!
2014,8,N/A,Erik,Kuch,187,163,24,NO,Erik,Kuch
2014,8,N/A,Jar,Kyle,159,138,21,NO,Jar,Kyle
2014,8,N/A,Jim,Steve,134,155,21,NO,Steve,Jim
2014,8,N/A,Bryan,Dickie,120,106,14,NO,Bryan,Dickie
2014,8,N/A,Jay,Bmas,177,174,3,NO,Jay,Bmas
2014,9,N/A,Bryan,Jay,118,172,54,NO,Jay,Bryan
2014,9,N/A,Kuch,Kyle,139,99,40,NO,Kuch,Kyle
2014,9,N/A,Erik,Jim,114,143,29,NO,Jim,Erik
2014,9,N/A,Dickie,Jar,129,157,28,NO,Jar,Dickie
2014,9,N/A,Steve,Bmas,144,141,3,NO,Steve,Bmas
2014,10,N/A,Bmas,Dickie,109,156,47,NO,Dickie,Bmas
2014,10,N/A,Jar,Jim,115,158,43,NO,Jim,Jar
2014,10,N/A,Kyle,Jay,108,150,42,NO,Jay,Kyle
2014,10,N/A,Bryan,Erik,149,167,18,NO,Erik,Bryan
2014,10,N/A,Steve,Kuch,123,136,13,NO,Kuch,Steve
2014,11,N/A,Bmas,Jim,84,170,86,NO,Jim,Bmas
2014,11,N/A,Kyle,Steve,90,150,60,NO,Steve,Kyle
2014,11,N/A,Bryan,Jar,99,139,40,NO,Jar,Bryan
2014,11,N/A,Erik,Jay,152,117,35,NO,Erik,Jay
2014,11,N/A,Dickie,Kuch,109,75,34,NO,Dickie,Kuch
2014,12,N/A,Dickie,Kyle,157,116,41,NO,Dickie,Kyle
2014,12,N/A,Steve,Erik,182,145,37,NO,Steve,Erik
2014,12,N/A,Jay,Jar,162,139,23,NO,Jay,Jar
2014,12,N/A,Jim,Bryan,136,125,11,NO,Jim,Bryan
2014,12,N/A,Kuch,Bmas,114,103,11,NO,Kuch,Bmas
2014,13,N/A,Bmas,Kyle,199,111,88,NO,Bmas,Kyle
2014,13,N/A,Steve,Dickie,169,137,32,NO,Steve,Dickie
2014,13,N/A,Kuch,Bryan,115,129,14,NO,Bryan,Kuch
2014,13,N/A,Jar,Erik,151,142,9,NO,Jar,Erik
2014,13,N/A,Jay,Jim,159,157,2,NO,Jay,Jim
2014,P1,4v1,Bryan,Steve,297,324,27,YES,Steve,Bryan
2014,P1,3v2,Jim,Jar,322,305,17,YES,Jim,Jar
2014,P1,6v5,Kyle,Kuch,250,219,31,YES,Kyle,Kuch
2014,P1,8v7,Erik,Jay,250,334,84,YES,Jay,Erik
2014,P1,10v9,Bmas,Dickie,224,265,41,YES,Dickie,Bmas
2014,P2,Championship,Jim,Steve,276,200,76,YES,Jim,Steve
2014,P2,Third Place,Bryan,Jar,248,182,66,YES,Bryan,Jar
2014,P2,C,Kyle,Erik,331,201,130,YES,Kyle,Erik
2014,P2,C,Dickie,Jay,264,380,116,YES,Jay,Dickie
2014,P2,C,Kuch,Bmas,198,188,10,NO,Kuch,Bmas
2015,1,N/A,Jim,Jar,189,109,80,NO,Jim,Jar
2015,1,N/A,Bmas,Steve,150,127,23,NO,Bmas,Steve
2015,1,N/A,Kyle,Kuch,132,136,4,NO,Kuch,Kyle
2015,1,N/A,Dickie,Jay,122,121,1,NO,Dickie,Jay
2015,1,N/A,Erik,Bryan,148,149,1,NO,Bryan,Erik
2015,2,N/A,Jar,Bryan,163,103,60,NO,Jar,Bryan
2015,2,N/A,Kuch,Steve,106,127,21,NO,Steve,Kuch
2015,2,N/A,Dickie,Bmas,136,124,12,NO,Dickie,Bmas
2015,2,N/A,Kyle,Jim,134,145,11,NO,Jim,Kyle
2015,2,N/A,Jay,Erik,126,119,7,NO,Jay,Erik
2015,3,N/A,Steve,Kyle,185,97,88,NO,Steve,Kyle
2015,3,N/A,Jar,Jay,239,163,76,YES,Jar,Jay
2015,3,N/A,Bmas,Erik,143,195,52,NO,Erik,Bmas
2015,3,N/A,Bryan,Jim,98,150,52,NO,Jim,Bryan
2015,3,N/A,Kuch,Dickie,106,95,11,NO,Kuch,Dickie
2015,4,N/A,Kyle,Dickie,109,131,22,NO,Dickie,Kyle
2015,4,N/A,Bmas,Kuch,111,98,13,NO,Bmas,Kuch
2015,4,N/A,Jim,Jay,121,113,8,NO,Jim,Jay
2015,4,N/A,Steve,Bryan,110,117,7,NO,Bryan,Steve
2015,4,N/A,Erik,Jar,139,145,6,NO,Jar,Erik
2015,5,N/A,Kuch,Jar,66,188,122,NO,Jar,Kuch
2015,5,N/A,Jay,Bryan,164,84,80,NO,Jay,Bryan
2015,5,N/A,Jim,Erik,126,158,32,NO,Erik,Jim
2015,5,N/A,Dickie,Steve,155,126,29,NO,Dickie,Steve
2015,5,N/A,Kyle,Bmas,164,137,27,NO,Kyle,Bmas
2015,6,N/A,Erik,Kyle,114,165,51,NO,Kyle,Erik
2015,6,N/A,Jar,Steve,164,137,27,NO,Jar,Steve
2015,6,N/A,Jay,Kuch,132,148,16,NO,Kuch,Jay
2015,6,N/A,Jim,Dickie,128,121,7,NO,Jim,Dickie
2015,6,N/A,Bryan,Bmas,143,145,2,NO,Bmas,Bryan
2015,7,N/A,Steve,Jay,151,81,70,NO,Steve,Jay
2015,7,N/A,Dickie,Erik,122,177,55,NO,Erik,Dickie
2015,7,N/A,Kuch,Jim,138,183,45,NO,Jim,Kuch
2015,7,N/A,Bmas,Jar,153,111,42,NO,Bmas,Jar
2015,7,N/A,Kyle,Bryan,134,128,6,NO,Kyle,Bryan
2015,8,N/A,Bryan,Dickie,72,146,74,NO,Dickie,Bryan
2015,8,N/A,Jar,Kyle,185,140,45,NO,Jar,Kyle
2015,8,N/A,Erik,Kuch,132,156,24,NO,Kuch,Erik
2015,8,N/A,Jay,Bmas,155,165,10,NO,Bmas,Jay
2015,8,N/A,Jim,Steve,138,144,6,NO,Steve,Jim
2015,9,N/A,Kuch,Kyle,125,186,61,NO,Kyle,Kuch
2015,9,N/A,Steve,Bmas,187,137,50,NO,Steve,Bmas
2015,9,N/A,Dickie,Jar,159,139,20,NO,Dickie,Jar
2015,9,N/A,Erik,Jim,166,146,20,NO,Erik,Jim
2015,9,N/A,Bryan,Jay,155,137,18,NO,Bryan,Jay
2015,10,N/A,Bryan,Erik,82,111,29,NO,Erik,Bryan
2015,10,N/A,Jar,Jim,140,160,20,NO,Jim,Jar
2015,10,N/A,Bmas,Dickie,146,127,19,NO,Bmas,Dickie
2015,10,N/A,Steve,Kuch,123,110,13,NO,Steve,Kuch
2015,10,N/A,Kyle,Jay,114,113,1,NO,Kyle,Jay
2015,11,N/A,Bmas,Jim,153,95,58,NO,Bmas,Jim
2015,11,N/A,Dickie,Kuch,87,121,34,NO,Kuch,Dickie
2015,11,N/A,Kyle,Steve,86,102,16,NO,Steve,Kyle
2015,11,N/A,Erik,Jay,134,137,3,NO,Jay,Erik
2015,11,N/A,Bryan,Jar,101,104,3,NO,Jar,Bryan
2015,12,N/A,Jay,Jar,119,186,67,NO,Jar,Jay
2015,12,N/A,Kuch,Bmas,158,95,63,NO,Kuch,Bmas
2015,12,N/A,Dickie,Kyle,163,141,22,NO,Dickie,Kyle
2015,12,N/A,Jim,Bryan,133,112,21,NO,Jim,Bryan
2015,12,N/A,Steve,Erik,130,125,5,NO,Steve,Erik
2015,13,N/A,Jar,Erik,233,150,83,YES,Jar,Erik
2015,13,N/A,Bmas,Kyle,134,164,30,NO,Kyle,Bmas
2015,13,N/A,Kuch,Bryan,113,136,23,NO,Bryan,Kuch
2015,13,N/A,Jay,Jim,123,137,14,NO,Jim,Jay
2015,13,N/A,Steve,Dickie,152,142,10,NO,Steve,Dickie
2015,P1,4v1,Bmas,Jar,247,300,53,YES,Jar,Bmas
2015,P1,3v2,Jim,Steve,329,305,24,YES,Jim,Steve
2015,P1,6v5,Kyle,Dickie,249,322,73,YES,Dickie,Kyle
2015,P1,8v7,Erik,Kuch,319,216,103,YES,Erik,Kuch
2015,P1,10v9,Jay,Bryan,227,283,56,YES,Bryan,Jay
2015,P2,Championship,Jim,Jar,247,253,6,YES,Jar,Jim
2015,P2,Third Place,Bmas,Steve,286,264,22,YES,Bmas,Steve
2015,P2,C,Bryan,Kyle,234,205,29,YES,Bryan,Kyle
2015,P2,C,Erik,Dickie,317,306,11,YES,Erik,Dickie
2015,P2,C,Jay,Kuch,237,258,21,YES,Kuch,Jay
2016,1,N/A,Bmas,Steve,164.1,108.4,55.7,NO,Bmas,Steve
2016,1,N/A,Dickie,Jar,156.5,112.1,44.4,NO,Dickie,Jar
2016,1,N/A,Bryan,Jim,134.5,152.6,18.1,NO,Jim,Bryan
2016,1,N/A,Erik,Jay,150.6,146.1,4.5,NO,Erik,Jay
2016,1,N/A,Kuch,Kyle,112.2,111.9,0.3,NO,Kuch,Kyle
2016,2,N/A,Steve,Kyle,107,139.9,32.9,NO,Kyle,Steve
2016,2,N/A,Jar,Erik,140.2,163.6,23.4,NO,Erik,Jar
2016,2,N/A,Bmas,Bryan,145,157.9,12.9,NO,Bryan,Bmas
2016,2,N/A,Dickie,Kuch,129.7,116.8,12.9,NO,Dickie,Kuch
2016,2,N/A,Jim,Jay,112.7,123.9,11.2,NO,Jay,Jim
2016,3,N/A,Steve,Dickie,178.8,101.8,77,NO,Steve,Dickie
2016,3,N/A,Jay,Bryan,129.7,84.2,45.5,NO,Jay,Bryan
2016,3,N/A,Kyle,Bmas,151.7,112.6,39.1,NO,Kyle,Bmas
2016,3,N/A,Jim,Jar,108.1,142.1,34,NO,Jar,Jim
2016,3,N/A,Kuch,Erik,159.1,133.6,25.5,NO,Kuch,Erik
2016,4,N/A,Kuch,Steve,97.8,157.2,59.4,NO,Steve,Kuch
2016,4,N/A,Kyle,Jay,119.4,157.9,38.5,NO,Jay,Kyle
2016,4,N/A,Erik,Jim,150.3,111.9,38.4,NO,Erik,Jim
2016,4,N/A,Bmas,Dickie,127.2,130,2.8,NO,Dickie,Bmas
2016,4,N/A,Bryan,Jar,141.3,140.5,0.8,NO,Bryan,Jar
2016,5,N/A,Dickie,Kyle,89.8,129.2,39.4,NO,Kyle,Dickie
2016,5,N/A,Bryan,Erik,154.8,124.2,30.6,NO,Bryan,Erik
2016,5,N/A,Bmas,Kuch,138.3,156.7,18.4,NO,Kuch,Bmas
2016,5,N/A,Jar,Jay,113.1,120.5,7.4,NO,Jay,Jar
2016,5,N/A,Steve,Jim,151,158,7,NO,Jim,Steve
2016,6,N/A,Jim,Kyle,134.6,98.6,36,NO,Jim,Kyle
2016,6,N/A,Jay,Kuch,101.8,127.2,25.4,NO,Kuch,Jay
2016,6,N/A,Jar,Steve,143.9,119.6,24.3,NO,Jar,Steve
2016,6,N/A,Bryan,Dickie,104.5,82.3,22.2,NO,Bryan,Dickie
2016,6,N/A,Erik,Bmas,160.9,142.3,18.6,NO,Erik,Bmas
2016,7,N/A,Kyle,Jar,185.4,77.1,108.3,NO,Kyle,Jar
2016,7,N/A,Steve,Bryan,158.5,102.1,56.4,NO,Steve,Bryan
2016,7,N/A,Kuch,Jim,128.1,110.7,17.4,NO,Kuch,Jim
2016,7,N/A,Dickie,Erik,104,118.7,14.7,NO,Erik,Dickie
2016,7,N/A,Bmas,Jay,120.5,132,11.5,NO,Jay,Bmas
2016,8,N/A,Erik,Steve,116.6,157.5,40.9,NO,Steve,Erik
2016,8,N/A,Jim,Bmas,155.9,132.3,23.6,NO,Jim,Bmas
2016,8,N/A,Bryan,Kyle,102.8,120,17.2,NO,Kyle,Bryan
2016,8,N/A,Jar,Kuch,138.6,128.5,10.1,NO,Jar,Kuch
2016,8,N/A,Jay,Dickie,138.1,143.3,5.2,NO,Dickie,Jay
2016,9,N/A,Erik,Kuch,156.3,112.2,44.1,NO,Erik,Kuch
2016,9,N/A,Jim,Steve,129.8,155.8,26,NO,Steve,Jim
2016,9,N/A,Bryan,Bmas,105.7,130.1,24.4,NO,Bmas,Bryan
2016,9,N/A,Jar,Dickie,109.5,92.2,17.3,NO,Jar,Dickie
2016,9,N/A,Jay,Kyle,175.2,172.9,2.3,NO,Jay,Kyle
2016,10,N/A,Bmas,Erik,113.8,166,52.2,NO,Erik,Bmas
2016,10,N/A,Kuch,Jay,128.8,147.8,19,NO,Jay,Kuch
2016,10,N/A,Dickie,Bryan,147.9,130.3,17.6,NO,Dickie,Bryan
2016,10,N/A,Steve,Jar,144,131.8,12.2,NO,Steve,Jar
2016,10,N/A,Kyle,Jim,123.3,112,11.3,NO,Kyle,Jim
2016,11,N/A,Bryan,Steve,83.3,148.2,64.9,NO,Steve,Bryan
2016,11,N/A,Jar,Kyle,110.8,131.3,20.5,NO,Kyle,Jar
2016,11,N/A,Jay,Bmas,123.8,107.7,16.1,NO,Jay,Bmas
2016,11,N/A,Jim,Kuch,132,116.7,15.3,NO,Jim,Kuch
2016,11,N/A,Erik,Dickie,130.3,133.8,3.5,NO,Dickie,Erik
2016,12,N/A,Kuch,Jar,73.8,161.3,87.5,NO,Jar,Kuch
2016,12,N/A,Dickie,Jay,156.5,98.7,57.8,NO,Dickie,Jay
2016,12,N/A,Kyle,Bryan,173.3,136.3,37,NO,Kyle,Bryan
2016,12,N/A,Steve,Erik,122.5,142.8,20.3,NO,Erik,Steve
2016,12,N/A,Bmas,Jim,153.5,139.3,14.2,NO,Bmas,Jim
2016,P1,4v1,Jay,Kyle,266.4,225.5,40.9,YES,Jay,Kyle
2016,P1,3v2,Steve,Erik,316,152.7,163.3,YES,Steve,Erik
2016,P1,6v5,Jim,Dickie,195.2,245.9,50.7,YES,Dickie,Jim
2016,P1,8v7,Kuch,Jar,210.3,228.7,18.4,YES,Jar,Kuch
2016,P1,10v9,Bmas,Bryan,257.6,240.7,16.9,YES,Bmas,Bryan
2016,P2,Championship,Steve,Jay,257.9,300.3,42.4,YES,Jay,Steve
2016,P2,Third Place,Kyle,Erik,280.6,232,48.6,YES,Kyle,Erik
2016,P2,C,Jar,Dickie,266.4,206.8,59.6,YES,Jar,Dickie
2016,P2,C,Bmas,Jim,247.1,216.5,30.6,YES,Bmas,Jim
2016,P2,C,Bryan,Kuch,273.2,175.2,98,YES,Bryan,Kuch
2017,1,N/A,Kuch,Kyle,100.4,130.7,30.3,NO,Kyle,Kuch
2017,1,N/A,Erik,Jay,133.1,108.5,24.6,NO,Erik,Jay
2017,1,N/A,Bryan,Jim,109.4,92.8,16.6,NO,Bryan,Jim
2017,1,N/A,Bmas,Steve,133.9,124.4,9.5,NO,Bmas,Steve
2017,1,N/A,Dickie,Jar,100.6,98.5,2.1,NO,Dickie,Jar
2017,2,N/A,Dickie,Kuch,84.4,133.9,49.5,NO,Kuch,Dickie
2017,2,N/A,Steve,Kyle,141.7,99.7,42,NO,Steve,Kyle
2017,2,N/A,Bmas,Bryan,112.8,152.1,39.3,NO,Bryan,Bmas
2017,2,N/A,Jim,Jay,114.4,136.9,22.5,NO,Jay,Jim
2017,2,N/A,Jar,Erik,117.2,133.4,16.2,NO,Erik,Jar
2017,3,N/A,Jim,Jar,71.3,152,80.7,NO,Jar,Jim
2017,3,N/A,Kuch,Erik,174.1,117.7,56.4,NO,Kuch,Erik
2017,3,N/A,Kyle,Bmas,98.6,138.3,39.7,NO,Bmas,Kyle
2017,3,N/A,Steve,Dickie,121.7,138.2,16.5,NO,Dickie,Steve
2017,3,N/A,Jay,Bryan,102.8,99.8,3,NO,Jay,Bryan
2017,4,N/A,Kyle,Jay,133.3,95.1,38.2,NO,Kyle,Jay
2017,4,N/A,Bmas,Dickie,130.3,152.9,22.6,NO,Dickie,Bmas
2017,4,N/A,Bryan,Jar,123.5,138.9,15.4,NO,Jar,Bryan
2017,4,N/A,Kuch,Steve,119.8,134.4,14.6,NO,Steve,Kuch
2017,4,N/A,Erik,Jim,114.3,123.4,9.1,NO,Jim,Erik
2017,5,N/A,Dickie,Kyle,123.3,73.8,49.5,NO,Dickie,Kyle
2017,5,N/A,Steve,Jim,162.5,119.8,42.7,NO,Steve,Jim
2017,5,N/A,Jar,Jay,161.2,122.2,39,NO,Jar,Jay
2017,5,N/A,Bmas,Kuch,120.2,102.2,18,NO,Bmas,Kuch
2017,5,N/A,Bryan,Erik,125.2,137.1,11.9,NO,Erik,Bryan
2017,6,N/A,Erik,Bmas,136.6,99.9,36.7,NO,Erik,Bmas
2017,6,N/A,Jar,Steve,155.8,128.7,27.1,NO,Jar,Steve
2017,6,N/A,Jay,Kuch,119.2,143.9,24.7,NO,Kuch,Jay
2017,6,N/A,Bryan,Dickie,111.7,98.3,13.4,NO,Bryan,Dickie
2017,6,N/A,Jim,Kyle,128.6,125.9,2.7,NO,Jim,Kyle
2017,7,N/A,Bmas,Jay,158.1,72.7,85.4,NO,Bmas,Jay
2017,7,N/A,Steve,Bryan,123.8,100.5,23.3,NO,Steve,Bryan
2017,7,N/A,Dickie,Erik,112.8,132.1,19.3,NO,Erik,Dickie
2017,7,N/A,Kuch,Jim,134,142.4,8.4,NO,Jim,Kuch
2017,7,N/A,Kyle,Jar,153.2,145.6,7.6,NO,Kyle,Jar
2017,8,N/A,Erik,Steve,152.8,190.9,38.1,NO,Steve,Erik
2017,8,N/A,Jim,Bmas,111.2,91.8,19.4,NO,Jim,Bmas
2017,8,N/A,Jar,Kuch,147.8,129.1,18.7,NO,Jar,Kuch
2017,8,N/A,Jay,Dickie,104.7,106.8,2.1,NO,Dickie,Jay
2017,8,N/A,Bryan,Kyle,136.6,136.2,0.4,NO,Bryan,Kyle
2017,9,N/A,Jim,Steve,94.9,144.4,49.5,NO,Steve,Jim
2017,9,N/A,Erik,Kuch,141.6,98.4,43.2,NO,Erik,Kuch
2017,9,N/A,Bryan,Bmas,125.6,156.1,30.5,NO,Bmas,Bryan
2017,9,N/A,Jay,Kyle,108.6,134,25.4,NO,Kyle,Jay
2017,9,N/A,Jar,Dickie,81.9,107,25.1,NO,Dickie,Jar
2017,10,N/A,Kyle,Jim,109.2,159.8,50.6,NO,Jim,Kyle
2017,10,N/A,Kuch,Jay,125.3,100.1,25.2,NO,Kuch,Jay
2017,10,N/A,Steve,Jar,150.2,141.6,8.6,NO,Steve,Jar
2017,10,N/A,Bmas,Erik,108.5,115.2,6.7,NO,Erik,Bmas
2017,10,N/A,Dickie,Bryan,103,107,4,NO,Bryan,Dickie
2017,11,N/A,Erik,Dickie,153,91.1,61.9,NO,Erik,Dickie
2017,11,N/A,Jar,Kyle,203,142.4,60.6,YES,Jar,Kyle
2017,11,N/A,Jay,Bmas,60.2,112.1,51.9,NO,Bmas,Jay
2017,11,N/A,Jim,Kuch,115.5,155.1,39.6,NO,Kuch,Jim
2017,11,N/A,Bryan,Steve,101.8,135.9,34.1,NO,Steve,Bryan
2017,12,N/A,Dickie,Jay,93.1,133.2,40.1,NO,Jay,Dickie
2017,12,N/A,Kuch,Jar,175.6,137.5,38.1,NO,Kuch,Jar
2017,12,N/A,Steve,Erik,141.2,169.2,28,NO,Erik,Steve
2017,12,N/A,Bmas,Jim,147.2,120.2,27,NO,Bmas,Jim
2017,12,N/A,Kyle,Bryan,111.9,106,5.9,NO,Kyle,Bryan
2017,P1,4v1,Jar,Erik,287.9,274,13.9,YES,Jar,Erik
2017,P1,3v2,Bmas,Steve,241.9,246.6,4.7,YES,Steve,Bmas
2017,P1,6v5,Bryan,Kyle,246.3,288.5,42.2,YES,Kyle,Bryan
2017,P1,8v7,Dickie,Kuch,217,217.3,0.3,YES,Kuch,Dickie
2017,P1,10v9,Jay,Jim,248.5,243.6,4.9,YES,Jay,Jim
2017,P2,Championship,Jar,Steve,236,293.4,57.4,YES,Steve,Jar
2017,P2,Third Place,Bmas,Erik,314.4,256.1,58.3,YES,Bmas,Erik
2017,P2,C,Kyle,Kuch,227.1,218.3,8.8,YES,Kyle,Kuch
2017,P2,C,Jay,Dickie,211.1,216.2,5.1,YES,Dickie,Jay
2017,P2,C,Jim,Bryan,231.1,232.9,1.8,YES,Bryan,Jim
2018,1,N/A,Bmas,Steve,84.4,178,93.6,NO,Steve,Bmas
2018,1,N/A,Erik,Jay,161.7,137.1,24.6,NO,Erik,Jay
2018,1,N/A,Dickie,Jar,142,124.4,17.6,NO,Dickie,Jar
2018,1,N/A,Bryan,Jim,125.7,140.1,14.4,NO,Jim,Bryan
